Case Daily Trends - United States,,data 3-11,,,,,,,,,,,
Date generated: Sat Nov 28 2020 17:16:38 GMT-0500 (Eastern Standard Time),,,,,DOWN,,DOWN,,,,,,
,,,,,,,,,,,,,
Date,New Cases,7-Day Moving Avg,,7day average,average 7day after,,"7 day after, if patient after 7 day increased = 1","8 day after, if patient after 7 day increased = 1","9 day after, if patient after 9 day increased = 1","10 day after, if patient after 10 day increased = 1","11 day after, if patient after 11 day increased = 1","12 day after, if patient after 12 day increased = 1","13 day after, if patient after 13 day increased = 1"
Mar 1 2020,6,2,,36.14285714,1,,1,1,1,1,1,1,1
Mar 2 2020,25,6,,,,,1,1,1,1,1,1,1
Mar 3 2020,24,9,,,,,1,1,1,1,1,1,1
Mar 4 2020,22,12,,,,,1,1,1,1,1,1,1
Mar 5 2020,62,21,,,,,1,1,1,1,1,1,1
Mar 6 2020,51,28,,,,,1,1,1,1,1,1,1
Mar 7 2020,63,36,,,,,1,1,1,1,1,1,1
Mar 8 2020,153,57,,294.2857143,1,,1,1,1,1,1,1,1
Mar 9 2020,219,84,,,,,1,1,1,1,1,1,1
Mar 10 2020,303,124,,,,,1,1,1,1,1,1,1
Mar 11 2020,285,162,,,,,1,1,1,1,1,1,1
Mar 12 2020,430,214,,,,,1,1,1,1,1,1,1
Mar 13 2020,299,250,,,,,1,1,1,1,1,1,1
Mar 14 2020,371,294,,,,,1,1,1,1,1,1,1
Mar 15 2020,1206,444,,3194,1,,1,1,1,1,1,1,1
Mar 16 2020,772,523,,,,,1,1,1,1,1,1,1
Mar 17 2020,2795,879,,,,,1,1,1,1,1,1,1
Mar 18 2020,3423,1328,,,,,1,1,1,1,1,1,1
Mar 19 2020,4759,1946,,,,,1,1,1,1,1,1,1
Mar 20 2020,3568,2413,,,,,1,1,1,1,1,1,1
Mar 21 2020,5835,3194,,,,,1,1,1,1,1,1,1
Mar 22 2020,8837,4284,,14025,1,,1,1,1,1,1,1,1
Mar 23 2020,10792,5715,,,,,1,1,1,1,1,1,1
Mar 24 2020,10193,6772,,,,,1,1,1,1,1,1,1
Mar 25 2020,13931,8273,,,,,1,1,1,1,1,1,1
Mar 26 2020,16957,10016,,,,,1,1,1,1,1,1,1
Mar 27 2020,18156,12100,,,,,1,1,1,1,1,1,1
Mar 28 2020,19309,14025,,,,,1,1,1,1,1,1,1
Mar 29 2020,18113,15350,,26000.28571,1,,1,1,1,1,1,1,1
Mar 30 2020,22064,16960,,,,,1,1,1,1,1,1,1
Mar 31 2020,22715,18749,,,,,0,1,1,1,1,1,1
Apr 1 2020,27271,20655,,,,,1,1,1,1,1,0,0
Apr 2 2020,26090,21959,,,,,1,1,1,1,0,0,1
Apr 3 2020,35085,24378,,,,,0,0,0,0,0,0,0
Apr 4 2020,30664,26000,,,,,1,0,0,0,0,0,0
